,id,host_response_rate,host_acceptance_rate,host_listings_count,host_total_listings_count,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,availability_30,availability_60,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month,last_scraped,name,description,neighborhood_overview,picture_url,host_name,host_since,host_about,host_response_time,host_is_superhost,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,property_type,room_type,bathrooms_text,amenities,calendar_updated,has_availability,calendar_last_scraped,last_review,license,instant_bookable
13365,6.67e+17,1.0,0.99,17.0,17.0,1.0,2.5,1.0,1.0,478.0,1.0,1125,25,49,350,5.0,4.0,2.0,5.0,5.0,4.8,5.0,4.9,5.0,4.6,0.19,26/09/2024,Casa Tradicional Mexicana -Cama individual p/mujer,"*ONLY FOR WOMEN*<br /><br />Hostal Fungi Casa Rosa in La Condesa, Mexico City's trendiest colony near bars, restaurants and museums.<br />The hostel is made up of shared, private, mixed rooms, and an exclusive room for girls.<br /><br />Fungi is a community of digital nomads so we have spaces for work as well as internet 100 MBPS<br /><br />This is the room ""Frida Kahlo"", es shared,  with shared bathroom. You can review other rooms on my profile.","La Condesa is the trendiest colony in Mexico City.<br />The best restaurants, bars, people, museums, shops and parks are here. <br />This area has an Art-Deco architecture, as it was a racetrack of Spanish royalty during the 17th century.<br />Come and get to know all the history with our cultural and culinary tours.",https://a0.muscache.com/pictures/miso/Hosting-666648798337918984/original/bc43a74e-3cd9-482d-a87e-53cb32ef5782.jpeg,Rebeca,24/03/2022,"Amo tanto viajar que decidÃ­ dedicarme a la hospitalidad y hotelerÃ­a. Soy una persona alegre, detallista y amante de la naturaleza y los animales. Ser host me llena de felicidad y me encanta conocer viajeros y oÃ­r sus aventuras por el mundo. 
HarÃ© todo lo posible para que tu estancia conmigo sea maravillosa.",within an hour,f,"['email', 'phone']",t,t,"Mexico City, Ciudad de MÃ©xico, Mexico",Shared room in bed and breakfast,Shared room,2.5 shared baths,"[""Shared patio or balcony"", ""Iron"", ""Outdoor furniture"", ""Wifi"", ""Freezer"", ""Laundromat nearby"", ""Cleaning available during stay"", ""Refrigerator"", ""Dishes and silverware"", ""Self check-in"", ""Building staff"", ""Blender"", ""Portable fans"", ""Body soap"", ""Carbon monoxide alarm"", ""Coffee maker"", ""Backyard"", ""Sound system"", ""Breakfast"", ""First aid kit"", ""Toaster"", ""Essentials"", ""Shampoo"", ""Hot water"", ""Smoking allowed"", ""Dining table"", ""Luggage dropoff allowed"", ""Shared outdoor kitchen"", ""Coffee"", ""Bed linens"", ""Kitchen"", ""Oven"", ""Outdoor dining area"", ""Books and reading material"", ""Smoke alarm"", ""Stove"", ""Extra pillows and blankets"", ""Cleaning products"", ""Safe"", ""Indoor fireplace"", ""Fire extinguisher"", ""Clothing storage"", ""Room-darkening shades"", ""Free street parking"", ""Exterior security cameras on property"", ""Dedicated workspace"", ""Cooking basics"", ""Hair dryer"", ""Microwave""]",SIN INFORMACION,t,26/09/2024,23/09/2024,SIN INFORMACION,t
13432,6.74e+17,1.0,0.99,17.0,17.0,2.0,2.5,1.0,1.0,543.0,1.0,365,24,49,350,18.0,12.0,0.0,4.94,4.94,4.94,4.94,5.0,5.0,5.0,0.68,26/09/2024,Casa Tradicional Mexicana - Cama Queen Tamayo,"Hostal Fungi Casa Rosa in La Condesa, Mexico City's trendiest colony near bars, restaurants, and museums.<br />The hostel is made up of shared, private, mixed rooms, and an exclusive room for girls.<br /><br />Fungi is a community of digital nomads so we have spaces for work as well as internet 100 MBPS<br /><br />This is the room ""Tamayo"", es shared,  with shared bathroom. You can review other rooms directly on my profile.<br /><br />You will love it here!","La Condesa is the trendiest colony in Mexico City.<br />The best restaurants, bars, people, museums, shops and parks are here. <br /><br />This area has an Art-Deco architecture, as it was a racetrack of Spanish royalty during the 17th century.<br />Come and get to know all the history with our cultural and culinary tours.",https://a0.muscache.com/pictures/miso/Hosting-674112808583668105/original/5783c85b-8a9f-4260-ae44-c3bac98705ef.jpeg,Rebeca,24/03/2022,"Amo tanto viajar que decidÃ­ dedicarme a la hospitalidad y hotelerÃ­a. Soy una persona alegre, detallista y amante de la naturaleza y los animales. Ser host me llena de felicidad y me encanta conocer viajeros y oÃ­r sus aventuras por el mundo. 
HarÃ© todo lo posible para que tu estancia conmigo sea maravillosa.",within an hour,f,"['email', 'phone']",t,t,"Mexico City, Ciudad de MÃ©xico, Mexico",Shared room in bed and breakfast,Shared room,2.5 shared baths,"[""Shared patio or balcony"", ""Iron"", ""Outdoor furniture"", ""Wifi"", ""Freezer"", ""Laundromat nearby"", ""Cleaning available during stay"", ""Refrigerator"", ""Dishes and silverware"", ""Self check-in"", ""Building staff"", ""Blender"", ""Outdoor kitchen"", ""Portable fans"", ""Body soap"", ""Carbon monoxide alarm"", ""Coffee maker"", ""Sound system"", ""Breakfast"", ""First aid kit"", ""Toaster"", ""Essentials"", ""Shampoo"", ""Hot water"", ""Smoking allowed"", ""Dining table"", ""Luggage dropoff allowed"", ""Coffee"", ""Bed linens"", ""Board games"", ""Kitchen"", ""Shared backyard \u2013 Fully fenced"", ""Oven"", ""Books and reading material"", ""Smoke alarm"", ""Stove"", ""Extra pillows and blankets"", ""Cleaning products"", ""Safe"", ""Indoor fireplace"", ""Fire extinguisher"", ""Clothing storage"", ""Room-darkening shades"", ""Exterior security cameras on property"", ""Dedicated workspace"", ""Cooking basics"", ""Hair dryer"", ""Microwave""]",SIN INFORMACION,t,26/09/2024,14/08/2024,SIN INFORMACION,t
13448,6.75e+17,1.0,0.99,17.0,17.0,2.0,2.5,1.0,1.0,543.0,1.0,365,24,47,344,5.0,3.0,1.0,4.8,4.9,4.6,5.0,4.8,5.0,4.6,0.19,26/09/2024,Casa Tradicional Mexicana -Cama queen solo mujeres,"*ONLY FOR WOMEN*<br /><br />Hostal Fungi Casa Rosa in La Condesa, Mexico City's trendiest colony near bars, restaurants and museums.<br />The hostel is made up of shared, private, mixed rooms, and an exclusive room for girls.<br /><br />Fungi is a community of digital nomads so we have spaces for work as well as internet 100 MBPS<br /><br />This is the room ""Frida Kahlo"", es shared,  with shared bathroom. You can review other rooms on my profile.","La Condesa is the trendiest colony in Mexico City.<br />The best restaurants, bars, people, museums, shops and parks are here. <br /><br />This area has an Art-Deco architecture, as it was a racetrack of Spanish royalty during the 17th century.<br />Come and get to know all the history with our cultural and culinary tours.",https://a0.muscache.com/pictures/miso/Hosting-674567375327824634/original/54cc1aa0-1c4c-4197-84bc-833ab8707561.jpeg,Rebeca,24/03/2022,"Amo tanto viajar que decidÃ­ dedicarme a la hospitalidad y hotelerÃ­a. Soy una persona alegre, detallista y amante de la naturaleza y los animales. Ser host me llena de felicidad y me encanta conocer viajeros y oÃ­r sus aventuras por el mundo. 
HarÃ© todo lo posible para que tu estancia conmigo sea maravillosa.",within an hour,f,"['email', 'phone']",t,t,"Mexico City, Ciudad de MÃ©xico, Mexico",Shared room in bed and breakfast,Shared room,2.5 shared baths,"[""Shared patio or balcony"", ""Iron"", ""Outdoor furniture"", ""Wifi"", ""Freezer"", ""Laundromat nearby"", ""Cleaning available during stay"", ""Refrigerator"", ""Dishes and silverware"", ""Self check-in"", ""Building staff"", ""Blender"", ""Portable fans"", ""Body soap"", ""Carbon monoxide alarm"", ""Coffee maker"", ""Sound system"", ""Breakfast"", ""First aid kit"", ""Toaster"", ""Essentials"", ""Shampoo"", ""Smoking allowed"", ""Dining table"", ""Luggage dropoff allowed"", ""Shared outdoor kitchen"", ""Coffee"", ""Bed linens"", ""Board games"", ""Kitchen"", ""Shared backyard \u2013 Fully fenced"", ""Oven"", ""Outdoor dining area"", ""Books and reading material"", ""Smoke alarm"", ""Stove"", ""Extra pillows and blankets"", ""Cleaning products"", ""Safe"", ""Indoor fireplace"", ""Fire extinguisher"", ""Clothing storage"", ""Room-darkening shades"", ""Free street parking"", ""Exterior security cameras on property"", ""Dedicated workspace"", ""Cooking basics"", ""Hair dryer"", ""Microwave""]",SIN INFORMACION,t,26/09/2024,08/09/2024,SIN INFORMACION,t
13463,6.75e+17,1.0,0.99,17.0,17.0,2.0,2.5,1.0,1.0,543.0,1.0,365,21,42,326,12.0,6.0,0.0,4.92,4.92,4.92,4.83,4.83,4.83,4.83,0.46,26/09/2024,Casa Tradicional Mexicana - Cama Queen Diego,"Hostal Fungi Casa Rosa in La Condesa, Mexico City's trendiest colony near bars, restaurants, and museums.<br />The hostel is made up of shared, private, mixed rooms, and an exclusive room for girls.<br /><br />Fungi is a community of digital nomads so we have spaces for work as well as internet 100 MBPS<br /><br />This is the room ""Diego Rivera"", es shared,  with shared bathroom. You can review other rooms directly on my profile.<br /><br />You will love it!","La Condesa is the trendiest colony in Mexico City.<br />The best restaurants, bars, people, museums, shops and parks are here. <br />This area has an Art-Deco architecture, as it was a racetrack of Spanish royalty during the 17th century.<br />Come and get to know all the history with our cultural and culinary tours.",https://a0.muscache.com/pictures/miso/Hosting-674671336871209253/original/71fae96d-a7e4-41cf-b9eb-931aabc53dea.jpeg,Rebeca,24/03/2022,"Amo tanto viajar que decidÃ­ dedicarme a la hospitalidad y hotelerÃ­a. Soy una persona alegre, detallista y amante de la naturaleza y los animales. Ser host me llena de felicidad y me encanta conocer viajeros y oÃ­r sus aventuras por el mundo. 
HarÃ© todo lo posible para que tu estancia conmigo sea maravillosa.",within an hour,f,"['email', 'phone']",t,t,"Mexico City, Ciudad de MÃ©xico, Mexico",Shared room in bed and breakfast,Shared room,2.5 shared baths,"[""Shared patio or balcony"", ""Iron"", ""Outdoor furniture"", ""Wifi"", ""Freezer"", ""Laundromat nearby"", ""Refrigerator"", ""Dishes and silverware"", ""Self check-in"", ""Building staff"", ""Blender"", ""Portable fans"", ""Body soap"", ""Carbon monoxide alarm"", ""Coffee maker"", ""Sound system"", ""First aid kit"", ""Toaster"", ""Essentials"", ""Shampoo"", ""Hot water"", ""Smoking allowed"", ""Dining table"", ""Luggage dropoff allowed"", ""Shared outdoor kitchen"", ""Coffee"", ""Bed linens"", ""Board games"", ""Kitchen"", ""Shared backyard \u2013 Fully fenced"", ""Oven"", ""Outdoor dining area"", ""Books and reading material"", ""Smoke alarm"", ""Stove"", ""Extra pillows and blankets"", ""Cleaning products"", ""Indoor fireplace"", ""Fire extinguisher"", ""Clothing storage"", ""Room-darkening shades"", ""Free street parking"", ""Exterior security cameras on property"", ""Dedicated workspace"", ""Cooking basics"", ""Hair dryer"", ""Microwave""]",SIN INFORMACION,t,26/09/2024,25/05/2024,SIN INFORMACION,t
13464,6.75e+17,1.0,0.99,17.0,17.0,2.0,2.5,1.0,1.0,543.0,1.0,365,27,51,327,18.0,8.0,0.0,4.89,4.94,5.0,4.94,4.83,5.0,4.94,0.68,26/09/2024,Casa Tradicional Mexicana - Cama Queen Remedios 2,"Hostal Fungi Casa Rosa in La Condesa, Mexico City's trendiest colony near bars, restaurants, and museums.<br />The hostel is made up of shared, private, mixed rooms, and an exclusive room for girls.<br /><br />Fungi is a community of digital nomads so we have spaces for work as well as internet 100 MBPS<br /><br />This is the room ""Remedios Varo"", es shared,  with shared bathroom. You can review other rooms in my profile.<br /><br />You will love it here!","La Condesa is the trendiest colony in Mexico City.<br />The best restaurants, bars, people, museums, shops and parks are here. <br />This area has an Art-Deco architecture, as it was a racetrack of Spanish royalty during the 17th century.<br />Come and get to know all the history with our cultural and culinary tours.",https://a0.muscache.com/pictures/miso/Hosting-674702262997120323/original/6fe8bd30-fcd3-4c6d-86c3-2644b9a6033f.jpeg,Rebeca,24/03/2022,"Amo tanto viajar que decidÃ­ dedicarme a la hospitalidad y hotelerÃ­a. Soy una persona alegre, detallista y amante de la naturaleza y los animales. Ser host me llena de felicidad y me encanta conocer viajeros y oÃ­r sus aventuras por el mundo. 
HarÃ© todo lo posible para que tu estancia conmigo sea maravillosa.",within an hour,f,"['email', 'phone']",t,t,"Mexico City, Ciudad de MÃ©xico, Mexico",Shared room in bed and breakfast,Shared room,2.5 shared baths,"[""Shared patio or balcony"", ""Iron"", ""Outdoor furniture"", ""Wifi"", ""Freezer"", ""Laundromat nearby"", ""Cleaning available during stay"", ""Refrigerator"", ""Dishes and silverware"", ""Self check-in"", ""Building staff"", ""Blender"", ""Portable fans"", ""Body soap"", ""Carbon monoxide alarm"", ""Coffee maker"", ""Sound system"", ""Breakfast"", ""First aid kit"", ""Toaster"", ""Essentials"", ""Shampoo"", ""Hot water"", ""Smoking allowed"", ""Dining table"", ""Luggage dropoff allowed"", ""Shared outdoor kitchen"", ""Coffee"", ""Bed linens"", ""Board games"", ""Kitchen"", ""Shared backyard \u2013 Fully fenced"", ""Oven"", ""Outdoor dining area"", ""BBQ grill"", ""Books and reading material"", ""Smoke alarm"", ""Stove"", ""Extra pillows and blankets"", ""Cleaning products"", ""Indoor fireplace"", ""Fire extinguisher"", ""Clothing storage"", ""Room-darkening shades"", ""Free street parking"", ""Exterior security cameras on property"", ""Dedicated workspace"", ""Cooking basics"", ""Hair dryer"", ""Microwave""]",SIN INFORMACION,t,26/09/2024,20/02/2024,SIN INFORMACION,t
13474,6.75e+17,1.0,0.99,17.0,17.0,2.0,2.5,1.0,1.0,543.0,1.0,365,28,55,356,36.0,19.0,0.0,4.94,4.92,4.89,4.94,4.97,4.94,4.92,1.37,26/09/2024,Casa Tradicional Mexicana - Cama Queen Remedios 1,"Hostal Fungi Casa Rosa in La Condesa, Mexico City's trendiest colony near bars, restaurants, and museums.<br />The hostel is made up of shared, private, mixed rooms, and an exclusive room for girls.<br /><br />Fungi is a community of digital nomads so we have spaces for work as well as internet 100 MBPS<br /><br />This is the room ""Remedios Varo"", es shared,  with shared bathroom. You can review other rooms in my profile.<br /><br />You will love it here!","La Condesa is the trendiest colony in Mexico City.<br />The best restaurants, bars, people, museums, shops and parks are here. <br />This area has an Art-Deco architecture, as it was a racetrack of Spanish royalty during the 17th century.<br />Come and get to know all the history with our cultural and culinary tours.",https://a0.muscache.com/pictures/miso/Hosting-674705738675367273/original/b07af508-9f44-4111-b6ae-5658023ccf7f.jpeg,Rebeca,24/03/2022,"Amo tanto viajar que decidÃ­ dedicarme a la hospitalidad y hotelerÃ­a. Soy una persona alegre, detallista y amante de la naturaleza y los animales. Ser host me llena de felicidad y me encanta conocer viajeros y oÃ­r sus aventuras por el mundo. 
HarÃ© todo lo posible para que tu estancia conmigo sea maravillosa.",within an hour,f,"['email', 'phone']",t,t,"Mexico City, Ciudad de MÃ©xico, Mexico",Shared room in bed and breakfast,Shared room,2.5 shared baths,"[""Shared patio or balcony"", ""Iron"", ""Outdoor furniture"", ""Wifi"", ""Freezer"", ""Laundromat nearby"", ""Cleaning available during stay"", ""Refrigerator"", ""Dishes and silverware"", ""Self check-in"", ""Shared BBQ grill: charcoal"", ""Building staff"", ""Blender"", ""Portable fans"", ""Body soap"", ""Carbon monoxide alarm"", ""Coffee maker"", ""Sound system"", ""Breakfast"", ""First aid kit"", ""Toaster"", ""Essentials"", ""Shampoo"", ""Hot water"", ""Smoking allowed"", ""Dining table"", ""Barbecue utensils"", ""Indoor fireplace: wood-burning"", ""Paid street parking off premises"", ""Luggage dropoff allowed"", ""Shared outdoor kitchen"", ""Coffee"", ""Bed linens"", ""Board games"", ""Kitchen"", ""Shared backyard \u2013 Fully fenced"", ""Oven"", ""Outdoor dining area"", ""Books and reading material"", ""Smoke alarm"", ""Stove"", ""Extra pillows and blankets"", ""Cleaning products"", ""Fire extinguisher"", ""Clothing storage"", ""Room-darkening shades"", ""Free street parking"", ""Exterior security cameras on property"", ""Dedicated workspace"", ""Cooking basics"", ""Hair dryer"", ""Microwave""]",SIN INFORMACION,t,26/09/2024,06/05/2024,SIN INFORMACION,t
13575,6.84e+17,1.0,0.99,4.0,5.0,2.9,2.0,1.0,1.4,300.0,1.0,1125,30,60,360,45.0,17.0,3.0,4.64,4.71,4.69,4.76,4.8,4.87,4.62,1.77,26/09/2024,"Hostal CDMX MilÃ¡n, terraza, cafe","Welcome to the Milan room, we are located in the heart of the Colonia JuÃ¡rez just a few streets from Zona Rosa and Reforma. Enjoy all the tourist places that the CDMX has for you, our hostel is very central so you will have no problem with public transport, we are 2 streets away from Av. Insurgentes at the height of the HamburgÃºs metrobus. <br /><br />15 minutes from the Angel of Independence and the American Embassy. <br />Wax museum<br />Beautiful Arts<br />Chocolate Museum","Our hostel is very close to:<br />Wax Museum 7min<br />Ripley 7min Stunning Things<br />Museum Kahlo Cold House 54min<br />National Museum of Anthropology 23min<br />Chapultepec Zoo 31min<br />Soumaya Art Museum 45min<br />Six Flags Mexico 1hr 13 min<br /><br />Our hostel is very close to: <br />Wax Museum 7min <br />Ripley's Museum of Amazing Things. 7min <br />Fria Kahlo House, 54min <br />Museum of Anthropology and History 23min <br />Chapultepec Zoo 31min <br />Soumaya Museum 45min <br />Six Flags, Mexico 1hr",https://a0.muscache.com/pictures/miso/Hosting-683977976537760688/original/b19eccba-0449-4452-9d3b-48115428a60c.jpeg,Israel,17/12/2018,SIN INFORMACIO,within an hour,f,"['email', 'phone']",t,t,"Mexico City, Ciudad de MÃ©xico, Mexico",Shared room in home,Shared room,2 shared baths,"[""Shared patio or balcony"", ""Outdoor furniture"", ""Wifi"", ""Cleaning available during stay"", ""Laundromat nearby"", ""Self check-in"", ""Coffee maker"", ""Hot water kettle"", ""Long term stays allowed"", ""Cleanerquim proteina de arroz body soap"", ""First aid kit"", ""Essentials"", ""Shampoo"", ""Hot water"", ""Shower gel"", ""Paid street parking off premises"", ""Luggage dropoff allowed"", ""Coffee"", ""90 inch HDTV"", ""Bed linens"", ""Outdoor dining area"", ""Window guards"", ""Cleaning products"", ""Fire extinguisher"", ""Room-darkening shades"", ""Exterior security cameras on property"", ""Dedicated workspace"", ""Lockbox""]",SIN INFORMACION,t,26/09/2024,14/09/2024,SIN INFORMACION,t
13784,7e+17,1.0,0.98,6.2,7.3,4.0,2.5,1.0,1.0,146.0,1.0,365,29,59,363,38.0,20.0,4.0,4.47,4.53,4.53,4.68,4.5,4.79,4.58,1.49,26/09/2024,Cuarto Compartido  en  Sultepec Condesa,Shared hostel-style room in the heart of the Condesa.<br /><br />2. 5 Bathrooms <br />Kitchen <br />Wifi<br />Towels <br />Cobijas <br />Hot water <br /><br />Come and enjoy the best area in Mexico City and get to know the city and people from all over.,SIN INFORMACION,https://a0.muscache.com/pictures/miso/Hosting-699563799689960895/original/609a08af-9cd4-4a9b-af56-e02fd882449d.jpeg,Andrea,14/09/2017,"Anfitriona en Airnbn desde hace 6 aÃ±os , encantada de recibir huÃ©spedes a mi casa o mis espacios. Dedicada en brindarles toda la ayuda que estÃ© en mis manos para hacer su viaje lo mÃ¡s agradable posible ",within an hour,SIN INFORMACION,"['email', 'phone']",t,t,SIN INFORMACION,Shared room in home,Shared room,2.5 shared baths,"[""Shared patio or balcony"", ""Iron"", ""Outdoor furniture"", ""Wifi"", ""Freezer"", ""Laundromat nearby"", ""Cleaning available during stay"", ""Refrigerator"", ""Dishes and silverware"", ""Self check-in"", ""Shared backyard"", ""Body soap"", ""Coffee maker"", ""Long term stays allowed"", ""Essentials"", ""Shampoo"", ""Hot water"", ""Smoking allowed"", ""Dining table"", ""Shower gel"", ""Paid street parking off premises"", ""Coffee"", ""Bed linens"", ""Kitchen"", ""Conditioner"", ""Oven"", ""Outdoor dining area"", ""Drying rack for clothing"", ""Stove"", ""Extra pillows and blankets"", ""Cleaning products"", ""Trash compactor"", ""Exterior security cameras on property"", ""Dedicated workspace"", ""Cooking basics"", ""Lockbox"", ""Single level home"", ""Hair dryer""]",SIN INFORMACION,t,26/09/2024,04/09/2024,SIN INFORMACION,f
13817,7e+17,1.0,0.98,6.2,7.3,3.0,2.5,1.0,1.0,163.0,1.0,365,30,60,365,25.0,10.0,0.0,4.8,4.9,4.8,4.79,4.52,4.84,4.48,1.03,25/09/2024,Cuarto Compartido en  Sultepec-Condesa B&B,">Host type shared room<br />> Triple bunk bed, 500mbps wifi<br />>The house has 2.5 bathrooms, which are shared<br />>The common areas are shared with other rooms, which are the kitchen, balcony, patio and rooftop<br />>The kitchen is equipped with everything you need to prepare and store food<br />> Shared house with several people in Colonia Condesa on Sultepec Street<br />>Not recommended for people sensitive to noise as there are several guests",SIN INFORMACION,https://a0.muscache.com/pictures/miso/Hosting-699563799689960895/original/609a08af-9cd4-4a9b-af56-e02fd882449d.jpeg,Andrea,14/09/2017,"Anfitriona en Airnbn desde hace 6 aÃ±os , encantada de recibir huÃ©spedes a mi casa o mis espacios. Dedicada en brindarles toda la ayuda que estÃ© en mis manos para hacer su viaje lo mÃ¡s agradable posible ",within an hour,SIN INFORMACION,"['email', 'phone']",t,t,SIN INFORMACION,Shared room in home,Shared room,2.5 shared baths,"[""Iron"", ""Cleaning products"", ""Coffee maker"", ""Wifi"", ""Backyard"", ""Patio or balcony"", ""Bed linens"", ""Kitchen"", ""Long term stays allowed"", ""Dishes and silverware"", ""Self check-in"", ""Essentials"", ""Oven"", ""Outdoor dining area"", ""Dedicated workspace"", ""Cooking basics"", ""Lockbox"", ""Hair dryer""]",SIN INFORMACION,t,25/09/2024,07/07/2024,SIN INFORMACION,t
14024,7.07e+17,1.0,1.0,11.0,13.0,1.0,1.0,1.0,1.0,280.0,1.0,365,20,50,119,35.0,27.0,4.0,4.8,4.91,4.83,4.89,4.77,4.77,4.91,2.31,25/09/2024,Barrio Downtown Mexico City / Bed Only,"Our location in the heart of the city, ""El Centro"", makes everyone staying with us feel part of our culture from the first moment.<br /><br />-Estadio GNP Seguros (Foro Sol), AutÃ³dromo Hnos. RodrÃ­guez, Palacio de los Deportes (7.7 km)<br />-AICM 20 - 30 min - taxi (8.3 km)<br />-Torre Caballito (Av. P. Reforma)<br />-Teatro MetropÃ³litan<br />-Haires Palace<br />-ZÃ³calo CDMX<br /><br />We hope you have all the experiences we have ready for you!",SIN INFORMACION,https://a0.muscache.com/pictures/miso/Hosting-707125343745485899/original/b8b8ecdd-28df-4896-8360-9174053b6372.jpeg,Barrio,23/08/2022,SIN INFORMACIO,within an hour,t,['phone'],t,t,SIN INFORMACION,Shared room in hostel,Shared room,1 shared bath,"[""Shared patio or balcony"", ""Wifi"", ""Exterior security cameras on property"", ""Dishes and silverware"", ""Self check-in"", ""Building staff"", ""Backyard"", ""Long term stays allowed"", ""First aid kit"", ""Essentials"", ""Hot water"", ""Luggage dropoff allowed"", ""Bed linens"", ""Smoke alarm"", ""Safe"", ""Fire extinguisher"", ""Paid parking lot off premises"", ""Elevator"", ""Dedicated workspace"", ""Ping pong table"", ""Hair dryer"", ""Microwave""]",SIN INFORMACION,t,25/09/2024,22/09/2024,SIN INFORMACION,f
14027,7.07e+17,1.0,1.0,11.0,13.0,1.0,1.0,1.0,1.0,362.0,1.0,365,25,47,116,34.0,24.0,1.0,4.94,4.97,4.94,4.97,4.97,4.88,5.0,1.68,25/09/2024,Breakfast Included / Barrio Downtown Mexico City,"Our location in the heart of the city, ""El Centro"", makes everyone staying with us feel part of our culture from the first moment.<br />Breakfast courtesy, Wi-Fi.<br /><br />-Estadio GNP Seguros (Foro Sol), AutÃ³dromo Hnos. RodrÃ­guez, Palacio de los Deportes (7.7 km)<br />-AICM 20 - 30 min - taxi (8.3 km)<br />-Torre Caballito (Av. P. Reforma)<br />-Teatro MetropÃ³litan<br />-Haires Palace<br />-ZÃ³calo CDMX<br /><br />We hope you have all the experiences we have ready for you!",SIN INFORMACION,https://a0.muscache.com/pictures/miso/Hosting-707185749111131795/original/c0bc20b4-9789-493d-b9a2-c8a01ed51286.jpeg,Barrio,23/08/2022,SIN INFORMACIO,within an hour,t,['phone'],t,t,SIN INFORMACION,Shared room in hostel,Shared room,1 shared bath,"[""Shared patio or balcony"", ""Wifi"", ""Exterior security cameras on property"", ""Dishes and silverware"", ""Self check-in"", ""Building staff"", ""Backyard"", ""Breakfast"", ""Long term stays allowed"", ""First aid kit"", ""Essentials"", ""Hot water"", ""Luggage dropoff allowed"", ""Bed linens"", ""Smoke alarm"", ""Safe"", ""Fire extinguisher"", ""Paid parking lot off premises"", ""Elevator"", ""Dedicated workspace"", ""Ping pong table"", ""Hair dryer"", ""Microwave""]",SIN INFORMACION,t,25/09/2024,31/08/2024,SIN INFORMACION,f
14100,7.14e+17,1.0,1.0,11.0,13.0,1.0,1.0,1.0,1.0,362.0,1.0,365,15,42,110,103.0,10.9,0.9,4.93,4.94,4.91,4.95,4.89,4.91,4.97,1.4,25/09/2024,Breakfast Included / Barrio Downtown Mexico City,"Our location in the heart of the city, ""El Centro"", makes everyone staying with us feel part of our culture from the first moment.<br />Breakfast courtesy, Wi-Fi.<br /><br />-Estadio GNP Seguros (Foro Sol), AutÃ³dromo Hnos. RodrÃ­guez, Palacio de los Deportes (7.7 km)<br />-AICM 20 - 30 min - taxi (8.3 km)<br />-Torre Caballito (Av. P. Reforma)<br />-Teatro MetropÃ³litan<br />-Haires Palace<br />-ZÃ³calo CDMX<br /><br />We hope you have all the experiences we have ready for you!",SIN INFORMACION,https://a0.muscache.com/pictures/miso/Hosting-714405811844467437/original/737ef671-a39e-4bf1-ba16-54d1543e4d9b.jpeg,Barrio,23/08/2022,SIN INFORMACIO,within an hour,t,['phone'],t,t,SIN INFORMACION,Shared room in hostel,Shared room,1 shared bath,"[""Shared patio or balcony"", ""Wifi"", ""Exterior security cameras on property"", ""Dishes and silverware"", ""Self check-in"", ""Building staff"", ""Backyard"", ""Breakfast"", ""Long term stays allowed"", ""First aid kit"", ""Essentials"", ""Hot water"", ""Luggage dropoff allowed"", ""Bed linens"", ""Smoke alarm"", ""Safe"", ""Fire extinguisher"", ""Paid parking lot off premises"", ""Elevator"", ""Dedicated workspace"", ""Ping pong table"", ""Hair dryer"", ""Microwave""]",SIN INFORMACION,t,25/09/2024,23/09/2024,SIN INFORMACION,f
14136,7.15e+17,1.0,1.0,11.0,13.0,1.0,1.0,1.0,1.0,362.0,1.0,365,29,58,127,111.0,47.0,2.0,4.86,4.9,4.87,4.9,4.84,4.85,4.91,1.4,25/09/2024,Breakfast Included / Barrio Downtown Mexico City,"Our location in the heart of the city, ""El Centro"", makes everyone staying with us feel part of our culture from the first moment.<br />Breakfast courtesy, Wi-Fi.<br /><br />-Estadio GNP Seguros (Foro Sol), AutÃ³dromo Hnos. RodrÃ­guez, Palacio de los Deportes (7.7 km)<br />-AICM 20 - 30 min - taxi (8.3 km)<br />-Torre Caballito (Av. P. Reforma)<br />-Teatro MetropÃ³litan<br />-Haires Palace<br />-ZÃ³calo CDMX<br /><br />We hope you have all the experiences we have ready for you!",SIN INFORMACION,https://a0.muscache.com/pictures/miso/Hosting-715177685756689984/original/7cd327c3-447c-4fa2-b5ed-cf9e75c03dde.jpeg,Barrio,23/08/2022,SIN INFORMACIO,within an hour,t,['phone'],t,t,SIN INFORMACION,Shared room in hostel,Shared room,1 shared bath,"[""Shared patio or balcony"", ""Wifi"", ""Exterior security cameras on property"", ""Dishes and silverware"", ""Self check-in"", ""Building staff"", ""Backyard"", ""Breakfast"", ""Long term stays allowed"", ""First aid kit"", ""Essentials"", ""Hot water"", ""Luggage dropoff allowed"", ""Bed linens"", ""Smoke alarm"", ""Safe"", ""Fire extinguisher"", ""Paid parking lot off premises"", ""Elevator"", ""Dedicated workspace"", ""Ping pong table"", ""Hair dryer"", ""Microwave""]",SIN INFORMACION,t,25/09/2024,17/09/2024,SIN INFORMACION,f
